t
e
s
t=========================================
program opened at: 2020-03-11 00:41:33.575053
=========================================
program opened at: 2020-03-11 00:42:46.448246
=========================================
program opened at: 2020-03-11 00:43:37.760299
=========================================
program opened at: 2020-03-11 00:44:12.246206
=========================================
program opened at: 2020-03-11 00:45:21.414743
=========================================
program opened at: 2020-03-11 00:45:47.680013
=========================================
program opened at: 2020-03-11 00:46:34.036884
=========================================
program opened at: 2020-03-11 00:48:28.316208
=========================================
program opened at: 2020-03-11 00:48:59.313692
=========================================
program opened at: 2020-03-11 00:49:17.401187
=========================================
program opened at: 2020-03-11 00:51:30.032984
=========================================
program opened at: 2020-03-11 00:51:46.116816
=========================================
program opened at: 2020-03-11 00:52:36.087776
=========================================
program opened at: 2020-03-11 00:53:27.308726
=========================================
program opened at: 2020-03-11 00:54:17.443111
=========================================
program opened at: 2020-03-11 00:54:28.300220
=========================================
program opened at: 2020-03-11 00:54:40.259414
=========================================
program opened at: 2020-03-11 00:55:24.620623
=========================================
program opened at: 2020-03-11 00:59:01.923473
=========================================
program opened at: 2020-03-11 00:59:20.930886
=========================================
program opened at: 2020-03-11 00:59:34.684825
=========================================
program opened at: 2020-03-11 01:05:06.609327
=========================================
program opened at: 2020-03-11 01:07:22.074870
=========================================
program opened at: 2020-03-11 01:07:32.442754
=========================================
program opened at: 2020-03-11 01:08:15.225456
=========================================
program opened at: 2020-03-11 01:11:25.945026
=========================================
program closed at: 2020-03-11 01:11:29.113550 
=========================================
program opened at: 2020-03-11 01:11:33.362191
=========================================
program closed at: 2020-03-11 01:11:47.564193 
=========================================
program opened at: 2020-03-11 01:14:41.974167
=========================================
program closed at: 2020-03-11 01:14:48.523600 
=========================================
program opened at: 2020-03-11 01:18:29.654761
=========================================
program closed at: 2020-03-11 01:18:42.106241 
=========================================
program opened at: 2020-03-11 22:46:28.151960
=========================================
program closed at: 2020-03-11 22:46:44.197880 
program opened at: 2020-03-20 01:14:59.470452 
program opened at: 2020-03-20 15:40:23.435592 
=========================================
program opened at: 2020-03-20 15:40:27.577153
Gesture recognized (C) at: 2020-03-20 15:40:40.788787 
Gesture recognized (C) at: 2020-03-20 15:40:40.874586 
Gesture recognized (C) at: 2020-03-20 15:40:40.964317 
Gesture recognized (C) at: 2020-03-20 15:40:41.053079 
Gesture recognized (C) at: 2020-03-20 15:40:41.142839 
Gesture recognized (C) at: 2020-03-20 15:40:41.233596 
Gesture recognized (C) at: 2020-03-20 15:40:41.951676 
Gesture recognized (C) at: 2020-03-20 15:40:42.039441 
Gesture recognized (C) at: 2020-03-20 15:40:42.133190 
Gesture recognized (C) at: 2020-03-20 15:40:42.218962 
Gesture recognized (C) at: 2020-03-20 15:40:42.308720 
Gesture recognized (C) at: 2020-03-20 15:40:42.396486 
Gesture recognized (C) at: 2020-03-20 15:40:42.489238 
Gesture recognized (C) at: 2020-03-20 15:40:43.281119 
Gesture recognized (C) at: 2020-03-20 15:40:43.509509 
Gesture recognized (C) at: 2020-03-20 15:40:43.726927 
Gesture recognized (C) at: 2020-03-20 15:40:43.875529 
Gesture recognized (C) at: 2020-03-20 15:40:43.968281 
Gesture recognized (C) at: 2020-03-20 15:40:44.058041 
Gesture recognized (C) at: 2020-03-20 15:40:44.152790 
Gesture recognized (C) at: 2020-03-20 15:40:44.873859 
Gesture recognized (C) at: 2020-03-20 15:40:44.963622 
Gesture recognized (C) at: 2020-03-20 15:40:45.052382 
Gesture recognized (C) at: 2020-03-20 15:40:45.143138 
Gesture recognized (C) at: 2020-03-20 15:40:45.236892 
Gesture recognized (C) at: 2020-03-20 15:40:45.331635 
Gesture recognized (C) at: 2020-03-20 15:40:45.418402 
Gesture recognized (C) at: 2020-03-20 15:40:46.132491 
Gesture recognized (C) at: 2020-03-20 15:40:46.233222 
Gesture recognized (C) at: 2020-03-20 15:40:46.322982 
Gesture recognized (C) at: 2020-03-20 15:40:46.410747 
Gesture recognized (C) at: 2020-03-20 15:40:46.506491 
Gesture recognized (C) at: 2020-03-20 15:40:46.597248 
Gesture recognized (C) at: 2020-03-20 15:40:46.682022 
Gesture recognized (C) at: 2020-03-20 15:40:47.408079 
Gesture recognized (C) at: 2020-03-20 15:40:47.501829 
Gesture recognized (C) at: 2020-03-20 15:40:47.590592 
Gesture recognized (C) at: 2020-03-20 15:40:47.682346 
Gesture recognized (C) at: 2020-03-20 15:40:47.768117 
Gesture recognized (C) at: 2020-03-20 15:40:47.859871 
Gesture recognized (C) at: 2020-03-20 15:40:47.945641 
Gesture recognized (C) at: 2020-03-20 15:40:48.648760 
Gesture recognized (C) at: 2020-03-20 15:40:48.740515 
Gesture recognized (C) at: 2020-03-20 15:40:48.825288 
Gesture recognized (C) at: 2020-03-20 15:40:48.928014 
Gesture recognized (C) at: 2020-03-20 15:40:49.040713 
Gesture recognized (C) at: 2020-03-20 15:40:49.140446 
Gesture recognized (C) at: 2020-03-20 15:40:49.245166 
Gesture recognized (C) at: 2020-03-20 15:40:50.022087 
Gesture recognized (C) at: 2020-03-20 15:40:50.112844 
Gesture recognized (C) at: 2020-03-20 15:40:50.203601 
Gesture recognized (C) at: 2020-03-20 15:40:50.297351 
Gesture recognized (C) at: 2020-03-20 15:40:50.389106 
Gesture recognized (C) at: 2020-03-20 15:40:50.480864 
Gesture recognized (C) at: 2020-03-20 15:40:50.567627 
Gesture recognized (C) at: 2020-03-20 15:40:51.306658 
Gesture recognized (C) at: 2020-03-20 15:40:51.404390 
Gesture recognized (C) at: 2020-03-20 15:40:51.492154 
Gesture recognized (C) at: 2020-03-20 15:40:51.586901 
Gesture recognized (C) at: 2020-03-20 15:40:51.677658 
Gesture recognized (C) at: 2020-03-20 15:40:51.765423 
Gesture recognized (C) at: 2020-03-20 15:40:51.854186 
Gesture recognized (C) at: 2020-03-20 15:40:52.592212 
Gesture recognized (C) at: 2020-03-20 15:40:52.685961 
Gesture recognized (C) at: 2020-03-20 15:40:52.778713 
Gesture recognized (C) at: 2020-03-20 15:40:52.878447 
Gesture recognized (C) at: 2020-03-20 15:40:52.976185 
Gesture recognized (C) at: 2020-03-20 15:40:53.070942 
Gesture recognized (C) at: 2020-03-20 15:40:53.160692 
Gesture recognized (C) at: 2020-03-20 15:40:53.992466 
Gesture recognized (C) at: 2020-03-20 15:40:54.097186 
Gesture recognized (C) at: 2020-03-20 15:40:54.200909 
Gesture recognized (C) at: 2020-03-20 15:40:54.314604 
======
program closed at: 2020-03-20 15:40:54.470188 
program opened at: 2020-03-20 15:42:55.716346 
=========================================
program opened at: 2020-03-20 15:42:58.776476
Gesture recognized (C) at: 2020-03-20 15:43:00.333311 
Gesture recognized (C) at: 2020-03-20 15:43:00.429054 
Gesture recognized (C) at: 2020-03-20 15:43:00.529786 
Gesture recognized (C) at: 2020-03-20 15:43:00.625530 
Gesture recognized (C) at: 2020-03-20 15:43:00.724265 
Gesture recognized (C) at: 2020-03-20 15:43:00.819011 
Gesture recognized (C) at: 2020-03-20 15:43:00.912761 
Gesture recognized (C) at: 2020-03-20 15:43:01.718605 
Gesture recognized (C) at: 2020-03-20 15:43:01.811356 
Gesture recognized (C) at: 2020-03-20 15:43:01.910092 
Gesture recognized (C) at: 2020-03-20 15:43:02.012818 
Gesture recognized (C) at: 2020-03-20 15:43:02.108563 
Gesture recognized (C) at: 2020-03-20 15:43:02.211287 
Gesture recognized (C) at: 2020-03-20 15:43:02.313016 
Gesture recognized (C) at: 2020-03-20 15:43:03.125841 
Gesture recognized (C) at: 2020-03-20 15:43:03.227569 
Gesture recognized (C) at: 2020-03-20 15:43:03.339269 
Gesture recognized (C) at: 2020-03-20 15:43:03.441994 
Gesture recognized (C) at: 2020-03-20 15:43:03.551701 
Gesture recognized (C) at: 2020-03-20 15:43:03.654427 
Gesture recognized (C) at: 2020-03-20 15:43:03.755157 
Gesture recognized (C) at: 2020-03-20 15:43:04.540062 
Gesture recognized (C) at: 2020-03-20 15:43:04.637796 
Gesture recognized (C) at: 2020-03-20 15:43:04.731545 
Gesture recognized (C) at: 2020-03-20 15:43:04.830281 
Gesture recognized (C) at: 2020-03-20 15:43:04.926025 
Gesture recognized (C) at: 2020-03-20 15:43:05.024760 
Gesture recognized (C) at: 2020-03-20 15:43:05.121503 
Gesture recognized (C) at: 2020-03-20 15:43:05.897427 
Gesture recognized (C) at: 2020-03-20 15:43:06.035059 
Gesture recognized (C) at: 2020-03-20 15:43:06.150750 
Gesture recognized (C) at: 2020-03-20 15:43:06.249484 
Gesture recognized (C) at: 2020-03-20 15:43:06.336252 
Gesture recognized (C) at: 2020-03-20 15:43:06.430999 
Gesture recognized (C) at: 2020-03-20 15:43:06.533724 
Gesture recognized (C) at: 2020-03-20 15:43:07.252802 
Gesture recognized (C) at: 2020-03-20 15:43:07.346551 
Gesture recognized (C) at: 2020-03-20 15:43:07.444289 
Gesture recognized (C) at: 2020-03-20 15:43:07.538038 
Gesture recognized (C) at: 2020-03-20 15:43:07.626800 
Gesture recognized (C) at: 2020-03-20 15:43:07.735509 
Gesture recognized (C) at: 2020-03-20 15:43:07.847212 
Gesture recognized (C) at: 2020-03-20 15:43:08.620143 
Gesture recognized (C) at: 2020-03-20 15:43:08.713892 
Gesture recognized (C) at: 2020-03-20 15:43:08.808639 
Gesture recognized (C) at: 2020-03-20 15:43:08.908372 
Gesture recognized (C) at: 2020-03-20 15:43:09.016092 
Gesture recognized (C) at: 2020-03-20 15:43:09.107838 
Gesture recognized (C) at: 2020-03-20 15:43:09.196601 
Gesture recognized (C) at: 2020-03-20 15:43:09.946595 
Gesture recognized (C) at: 2020-03-20 15:43:10.048322 
Gesture recognized (C) at: 2020-03-20 15:43:10.139080 
Gesture recognized (C) at: 2020-03-20 15:43:10.238813 
Gesture recognized (C) at: 2020-03-20 15:43:10.334557 
Gesture recognized (C) at: 2020-03-20 15:43:10.431299 
Gesture recognized (C) at: 2020-03-20 15:43:10.539009 
Gesture recognized (C) at: 2020-03-20 15:43:11.281025 
Gesture recognized (C) at: 2020-03-20 15:43:11.373776 
Gesture recognized (C) at: 2020-03-20 15:43:11.468523 
Gesture recognized (C) at: 2020-03-20 15:43:11.575238 
Gesture recognized (C) at: 2020-03-20 15:43:11.665995 
Gesture recognized (C) at: 2020-03-20 15:43:11.754757 
Gesture recognized (C) at: 2020-03-20 15:43:11.841526 
Gesture recognized (C) at: 2020-03-20 15:43:12.572570 
Gesture recognized (C) at: 2020-03-20 15:43:12.662330 
Gesture recognized (C) at: 2020-03-20 15:43:12.752089 
Gesture recognized (C) at: 2020-03-20 15:43:12.849828 
Gesture recognized (C) at: 2020-03-20 15:43:12.937599 
Gesture recognized (C) at: 2020-03-20 15:43:13.029349 
Gesture recognized (C) at: 2020-03-20 15:43:13.121103 
Gesture recognized (C) at: 2020-03-20 15:43:13.861123 
Gesture recognized (C) at: 2020-03-20 15:43:13.952877 
Gesture recognized (C) at: 2020-03-20 15:43:14.050616 
Gesture recognized (C) at: 2020-03-20 15:43:14.143368 
Gesture recognized (C) at: 2020-03-20 15:43:14.234125 
Gesture recognized (C) at: 2020-03-20 15:43:14.320894 
Gesture recognized (C) at: 2020-03-20 15:43:14.407661 
Gesture recognized (C) at: 2020-03-20 15:43:15.154662 
Gesture recognized (C) at: 2020-03-20 15:43:15.251403 
Gesture recognized (C) at: 2020-03-20 15:43:15.341164 
Gesture recognized (C) at: 2020-03-20 15:43:15.434914 
Gesture recognized (C) at: 2020-03-20 15:43:15.525670 
Gesture recognized (C) at: 2020-03-20 15:43:15.620417 
Gesture recognized (C) at: 2020-03-20 15:43:15.710178 
Gesture recognized (C) at: 2020-03-20 15:43:16.445210 
Gesture recognized (C) at: 2020-03-20 15:43:16.532976 
Gesture recognized (C) at: 2020-03-20 15:43:16.627723 
Gesture recognized (C) at: 2020-03-20 15:43:16.721471 
Gesture recognized (C) at: 2020-03-20 15:43:16.811232 
Gesture recognized (C) at: 2020-03-20 15:43:16.903983 
Gesture recognized (C) at: 2020-03-20 15:43:16.992746 
Gesture recognized (C) at: 2020-03-20 15:43:17.769668 
Gesture recognized (C) at: 2020-03-20 15:43:17.861422 
Gesture recognized (C) at: 2020-03-20 15:43:17.947192 
Gesture recognized (C) at: 2020-03-20 15:43:18.044931 
Gesture recognized (C) at: 2020-03-20 15:43:18.136685 
Gesture recognized (C) at: 2020-03-20 15:43:18.225449 
Gesture recognized (C) at: 2020-03-20 15:43:18.321192 
Gesture recognized (C) at: 2020-03-20 15:43:19.081160 
Gesture recognized (C) at: 2020-03-20 15:43:19.171916 
Gesture recognized (C) at: 2020-03-20 15:43:19.262674 
Gesture recognized (C) at: 2020-03-20 15:43:19.355426 
Gesture recognized (C) at: 2020-03-20 15:43:19.451169 
Gesture recognized (C) at: 2020-03-20 15:43:19.538935 
Gesture recognized (C) at: 2020-03-20 15:43:19.638669 
Gesture recognized (C) at: 2020-03-20 15:43:20.406613 
Gesture recognized (C) at: 2020-03-20 15:43:20.517317 
Gesture recognized (C) at: 2020-03-20 15:43:20.630016 
Gesture recognized (C) at: 2020-03-20 15:43:20.742714 
Gesture recognized (C) at: 2020-03-20 15:43:20.828484 
Gesture recognized (C) at: 2020-03-20 15:43:20.923232 
Gesture recognized (C) at: 2020-03-20 15:43:21.020970 
Gesture recognized (C) at: 2020-03-20 15:43:21.757998 
Gesture recognized (C) at: 2020-03-20 15:43:21.850751 
Gesture recognized (C) at: 2020-03-20 15:43:21.941507 
Gesture recognized (C) at: 2020-03-20 15:43:22.036255 
Gesture recognized (C) at: 2020-03-20 15:43:22.129007 
Gesture recognized (C) at: 2020-03-20 15:43:22.221758 
Gesture recognized (C) at: 2020-03-20 15:43:22.315510 
Gesture recognized (C) at: 2020-03-20 15:43:23.071486 
Gesture recognized (C) at: 2020-03-20 15:43:23.162242 
Gesture recognized (C) at: 2020-03-20 15:43:23.259980 
Gesture recognized (C) at: 2020-03-20 15:43:23.379664 
Gesture recognized (C) at: 2020-03-20 15:43:23.484381 
Gesture recognized (C) at: 2020-03-20 15:43:23.590098 
Gesture recognized (C) at: 2020-03-20 15:43:23.698822 
Gesture recognized (C) at: 2020-03-20 15:43:24.560504 
Gesture recognized (C) at: 2020-03-20 15:43:24.667217 
Gesture recognized (C) at: 2020-03-20 15:43:24.779055 
Gesture recognized (C) at: 2020-03-20 15:43:24.887763 
Gesture recognized (C) at: 2020-03-20 15:43:24.996772 
Gesture recognized (C) at: 2020-03-20 15:43:25.103485 
Gesture recognized (C) at: 2020-03-20 15:43:25.215186 
Gesture recognized (C) at: 2020-03-20 15:43:25.965181 
Gesture recognized (C) at: 2020-03-20 15:43:26.066908 
Gesture recognized (C) at: 2020-03-20 15:43:26.166641 
Gesture recognized (C) at: 2020-03-20 15:43:26.263382 
Gesture recognized (C) at: 2020-03-20 15:43:26.352144 
Gesture recognized (C) at: 2020-03-20 15:43:26.445894 
Gesture recognized (C) at: 2020-03-20 15:43:26.538646 
Gesture recognized (C) at: 2020-03-20 15:43:27.283655 
Gesture recognized (C) at: 2020-03-20 15:43:27.373412 
Gesture recognized (C) at: 2020-03-20 15:43:27.477135 
Gesture recognized (C) at: 2020-03-20 15:43:27.568889 
Gesture recognized (C) at: 2020-03-20 15:43:27.659647 
Gesture recognized (C) at: 2020-03-20 15:43:27.755390 
Gesture recognized (C) at: 2020-03-20 15:43:27.850137 
Gesture recognized (C) at: 2020-03-20 15:43:28.597140 
Gesture recognized (C) at: 2020-03-20 15:43:28.688894 
Gesture recognized (C) at: 2020-03-20 15:43:28.784638 
Gesture recognized (C) at: 2020-03-20 15:43:28.883374 
Gesture recognized (C) at: 2020-03-20 15:43:28.981114 
Gesture recognized (C) at: 2020-03-20 15:43:29.079848 
Gesture recognized (C) at: 2020-03-20 15:43:29.170606 
Gesture recognized (C) at: 2020-03-20 15:43:29.918604 
Gesture recognized (C) at: 2020-03-20 15:43:30.008364 
Gesture recognized (C) at: 2020-03-20 15:43:30.098125 
Gesture recognized (C) at: 2020-03-20 15:43:30.186886 
Gesture recognized (C) at: 2020-03-20 15:43:30.280637 
Gesture recognized (C) at: 2020-03-20 15:43:30.379379 
Gesture recognized (C) at: 2020-03-20 15:43:30.484091 
Gesture recognized (C) at: 2020-03-20 15:43:31.243061 
Gesture recognized (C) at: 2020-03-20 15:43:31.338805 
Gesture recognized (C) at: 2020-03-20 15:43:31.427568 
Gesture recognized (C) at: 2020-03-20 15:43:31.522314 
Gesture recognized (C) at: 2020-03-20 15:43:31.617061 
Gesture recognized (C) at: 2020-03-20 15:43:31.707818 
Gesture recognized (C) at: 2020-03-20 15:43:31.796581 
Gesture recognized (C) at: 2020-03-20 15:43:32.560537 
Gesture recognized (C) at: 2020-03-20 15:43:32.658275 
Gesture recognized (C) at: 2020-03-20 15:43:32.756014 
Gesture recognized (C) at: 2020-03-20 15:43:32.850761 
Gesture recognized (C) at: 2020-03-20 15:43:32.951491 
Gesture recognized (C) at: 2020-03-20 15:43:33.047235 
Gesture recognized (C) at: 2020-03-20 15:43:33.137993 
Gesture recognized (C) at: 2020-03-20 15:43:33.883996 
Gesture recognized (C) at: 2020-03-20 15:43:33.979741 
Gesture recognized (C) at: 2020-03-20 15:43:34.079473 
Gesture recognized (C) at: 2020-03-20 15:43:34.175217 
Gesture recognized (C) at: 2020-03-20 15:43:34.271958 
Gesture recognized (C) at: 2020-03-20 15:43:34.366710 
Gesture recognized (C) at: 2020-03-20 15:43:34.459458 
Gesture recognized (C) at: 2020-03-20 15:43:35.206458 
Gesture recognized (C) at: 2020-03-20 15:43:35.302203 
Gesture recognized (C) at: 2020-03-20 15:43:35.388970 
Gesture recognized (C) at: 2020-03-20 15:43:35.481722 
Gesture recognized (C) at: 2020-03-20 15:43:35.569487 
Gesture recognized (C) at: 2020-03-20 15:43:35.657252 
Gesture recognized (C) at: 2020-03-20 15:43:35.746016 
Gesture recognized (C) at: 2020-03-20 15:43:36.495012 
Gesture recognized (C) at: 2020-03-20 15:43:36.581779 
Gesture recognized (C) at: 2020-03-20 15:43:36.673534 
Gesture recognized (C) at: 2020-03-20 15:43:36.769278 
Gesture recognized (C) at: 2020-03-20 15:43:36.861032 
Gesture recognized (C) at: 2020-03-20 15:43:36.951790 
Gesture recognized (C) at: 2020-03-20 15:43:37.046536 
Gesture recognized (C) at: 2020-03-20 15:43:37.782567 
Gesture recognized (C) at: 2020-03-20 15:43:37.875319 
Gesture recognized (C) at: 2020-03-20 15:43:37.969070 
Gesture recognized (C) at: 2020-03-20 15:43:38.065810 
Gesture recognized (C) at: 2020-03-20 15:43:38.158562 
Gesture recognized (C) at: 2020-03-20 15:43:38.250316 
Gesture recognized (C) at: 2020-03-20 15:43:38.339081 
Gesture recognized (C) at: 2020-03-20 15:43:39.083088 
Gesture recognized (C) at: 2020-03-20 15:43:39.176838 
Gesture recognized (C) at: 2020-03-20 15:43:39.268593 
Gesture recognized (C) at: 2020-03-20 15:43:39.367360 
Gesture recognized (C) at: 2020-03-20 15:43:39.464070 
Gesture recognized (C) at: 2020-03-20 15:43:39.555824 
Gesture recognized (C) at: 2020-03-20 15:43:39.649573 
Gesture recognized (C) at: 2020-03-20 15:43:40.405551 
Gesture recognized (C) at: 2020-03-20 15:43:40.500297 
Gesture recognized (C) at: 2020-03-20 15:43:40.599034 
Gesture recognized (C) at: 2020-03-20 15:43:40.694779 
Gesture recognized (C) at: 2020-03-20 15:43:40.785534 
Gesture recognized (C) at: 2020-03-20 15:43:40.875294 
Gesture recognized (C) at: 2020-03-20 15:43:40.972035 
Gesture recognized (C) at: 2020-03-20 15:43:41.745965 
Gesture recognized (C) at: 2020-03-20 15:43:41.833731 
Gesture recognized (C) at: 2020-03-20 15:43:41.927480 
Gesture recognized (C) at: 2020-03-20 15:43:42.023223 
Gesture recognized (C) at: 2020-03-20 15:43:42.117970 
Gesture recognized (C) at: 2020-03-20 15:43:42.215709 
Gesture recognized (C) at: 2020-03-20 15:43:42.307463 
Gesture recognized (C) at: 2020-03-20 15:43:43.049478 
Gesture recognized (C) at: 2020-03-20 15:43:43.141233 
Gesture recognized (C) at: 2020-03-20 15:43:43.232987 
Gesture recognized (C) at: 2020-03-20 15:43:43.321750 
Gesture recognized (C) at: 2020-03-20 15:43:43.418491 
Gesture recognized (C) at: 2020-03-20 15:43:43.510246 
Gesture recognized (C) at: 2020-03-20 15:43:43.601004 
Gesture recognized (C) at: 2020-03-20 15:43:44.332047 
Gesture recognized (C) at: 2020-03-20 15:43:44.422804 
Gesture recognized (C) at: 2020-03-20 15:43:44.516554 
Gesture recognized (C) at: 2020-03-20 15:43:44.619279 
Gesture recognized (C) at: 2020-03-20 15:43:44.710037 
Gesture recognized (C) at: 2020-03-20 15:43:44.806779 
Gesture recognized (C) at: 2020-03-20 15:43:44.903519 
Gesture recognized (C) at: 2020-03-20 15:43:45.647528 
Gesture recognized (C) at: 2020-03-20 15:43:45.736291 
Gesture recognized (C) at: 2020-03-20 15:43:45.831038 
Gesture recognized (C) at: 2020-03-20 15:43:45.919800 
Gesture recognized (C) at: 2020-03-20 15:43:46.017538 
Gesture recognized (C) at: 2020-03-20 15:43:46.114281 
Gesture recognized (C) at: 2020-03-20 15:43:46.210025 
Gesture recognized (C) at: 2020-03-20 15:43:46.937079 
Gesture recognized (C) at: 2020-03-20 15:43:47.029830 
Gesture recognized (C) at: 2020-03-20 15:43:47.118593 
Gesture recognized (C) at: 2020-03-20 15:43:47.215336 
Gesture recognized (C) at: 2020-03-20 15:43:47.312077 
Gesture recognized (C) at: 2020-03-20 15:43:47.399841 
Gesture recognized (C) at: 2020-03-20 15:43:47.494588 
Gesture recognized (C) at: 2020-03-20 15:43:48.271509 
Gesture recognized (C) at: 2020-03-20 15:43:48.364262 
Gesture recognized (C) at: 2020-03-20 15:43:48.462997 
Gesture recognized (C) at: 2020-03-20 15:43:48.551759 
Gesture recognized (C) at: 2020-03-20 15:43:48.645508 
Gesture recognized (C) at: 2020-03-20 15:43:48.739258 
Gesture recognized (C) at: 2020-03-20 15:43:48.831013 
Gesture recognized (C) at: 2020-03-20 15:43:49.582003 
Gesture recognized (C) at: 2020-03-20 15:43:49.674756 
Gesture recognized (C) at: 2020-03-20 15:43:49.769502 
Gesture recognized (C) at: 2020-03-20 15:43:49.869235 
Gesture recognized (C) at: 2020-03-20 15:43:49.966974 
Gesture recognized (C) at: 2020-03-20 15:43:50.062719 
Gesture recognized (C) at: 2020-03-20 15:43:50.153474 
Gesture recognized (C) at: 2020-03-20 15:43:50.950345 
Gesture recognized (C) at: 2020-03-20 15:43:51.052071 
Gesture recognized (C) at: 2020-03-20 15:43:51.139836 
Gesture recognized (C) at: 2020-03-20 15:43:51.242562 
Gesture recognized (C) at: 2020-03-20 15:43:51.341297 
Gesture recognized (C) at: 2020-03-20 15:43:51.437042 
Gesture recognized (C) at: 2020-03-20 15:43:51.536774 
Gesture recognized (C) at: 2020-03-20 15:43:52.303723 
Gesture recognized (C) at: 2020-03-20 15:43:52.400465 
Gesture recognized (C) at: 2020-03-20 15:43:52.491221 
Gesture recognized (C) at: 2020-03-20 15:43:52.581978 
Gesture recognized (C) at: 2020-03-20 15:43:52.675727 
Gesture recognized (C) at: 2020-03-20 15:43:52.763493 
Gesture recognized (C) at: 2020-03-20 15:43:52.857242 
Gesture recognized (C) at: 2020-03-20 15:43:53.649124 
Gesture recognized (C) at: 2020-03-20 15:43:53.752846 
Gesture recognized (C) at: 2020-03-20 15:43:53.854575 
Gesture recognized (C) at: 2020-03-20 15:43:53.967273 
Gesture recognized (C) at: 2020-03-20 15:43:54.079971 
Gesture recognized (C) at: 2020-03-20 15:43:54.185688 
